url,transferSize,decodedBodySize,resourceCount,scriptCount,imageCount,divCount,Runtime,RAPL package-0 (J),RAPL package-0-core (J),RAPL package-0-uncore (J),INA system energy (J)
ameland.nl,39588,224401,49,23,8,166,4.3233886,2.239269,1.1318486,0,5.650172
inspectiebtd.nl,57168,275108,35,62,17,104,4.1206336,3.2528489,1.168981,0,7.632146
inspectiebtd.nl,57168,275108,35,62,17,104,4.0956326,2.7499664,1.0665114,0.000244,5.32043
inspectiebtd.nl,57168,275108,35,62,17,104,4.127766,3.0420802,1.2383953,0,6.051592
inspectiebtd.nl,57168,275108,35,62,17,104,4.1261997,2.8730254,1.1250395,0,5.3368073
inspectiebtd.nl,57168,275108,35,62,17,104,4.094848,3.068606,1.2008123,0.000306,6.1036654
dus-i.nl,61318,301325,38,65,26,132,4.150696,2.8286035,1.1288478,0,7.1498013
dus-i.nl,61318,301325,38,65,26,132,4.15216,2.8782115,1.1549437,0.000183,5.7710943
dus-i.nl,61318,301325,38,65,26,132,4.173603,3.170557,1.2415955,0,6.341817
dus-i.nl,61318,301325,38,65,26,132,4.102446,2.9298267,1.1483752,0,5.4281836
